entry_filter,cost_bps_per_side,period,policy,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
all_drops,25,recent,hold_20,697,358,120,49.21090387374462,1.2010419665471064,-0.11308936959926186,-13.636510259825679,-39.67463069403993,18.794835007173603,11.701674199124795,-8.973299433944836,-0.3115071527889812,0.2344485125592405,48.20659971305595,-0.6194951936486948,-1.4333867602104617,0.20665535345865127,-7.85250785250784,20.0,2,3,4,7,descriptive only
all_drops,25,recent,hold_30,697,358,120,50.07173601147776,2.85488863948132,0.09167395909424059,-15.069951857141767,-41.76587550010279,21.664275466284074,15.528543655944077,-9.85518492587932,-0.5748356173198133,1.6636703205496777,48.63701578192253,1.6455191655294106,-1.1817186924232277,1.3703364150539965,-9.456462114526943,30.0,2,3,4,7,descriptive only
all_drops,25,recent,recovery_30,697,358,120,60.54519368723099,1.1583729348829723,4.460867663551937,-14.321675619619143,-41.76587550010279,18.364418938307033,8.54427492052935,-10.175629384908923,3.480170768683477,0.7272596479379566,60.832137733142034,4.076480538730237,3.0075415189426105,5.022053209596633,-7.4437895655970365,29.0,3,3,7,7,descriptive only
all_drops,25,recent,recovery_stop_10,697,358,120,53.80200860832137,-0.3357284389054748,2.3188534381961334,-13.533071176876394,-26.16384115838155,29.555236728837876,8.29706117625433,-10.389443052833819,1.763187924298082,-0.49102047986191466,53.9454806312769,0.565063877084465,0.11739333308714572,3.116442431644173,-7.4437895655970365,12.0,2,3,5,7,descriptive only
all_drops,25,recent,trailing_close_10,697,358,120,40.88952654232425,0.27205158459797707,-3.7217431954228775,-12.646394858132082,-26.16384115838155,22.812051649928264,13.274358345374786,-8.722262558172389,-3.7093649961054465,-0.4080341561662816,39.74175035868006,-2.6567871070528106,-3.6243438587813177,-2.8127356028533224,-7.4616334450520405,19.0,1,3,0,7,descriptive only
volatility_2_to_5,0,older,hold_20,734,369,195,60.08174386920982,3.0204100470205235,2.8309703638216166,-10.539359209697347,-29.476318829418556,10.899182561307901,9.984550790996906,-7.461453666609459,-0.26849264969591724,0.25576867478458365,48.77384196185286,0.5415944540727802,-0.6877975633961642,0.7596594629993625,-6.075490176922587,20.0,4,5,8,8,descriptive only
volatility_2_to_5,0,older,hold_30,734,369,195,58.719346049046315,4.13766163265898,2.782383786848075,-13.917843388960208,-41.25,16.7574931880109,13.98509983000957,-9.8697504566417,-1.1565096533671158,0.120897639797528,47.13896457765668,0.3507131166705646,-1.037485281579631,-0.09899589874132753,-7.1737914167482435,30.0,3,5,8,8,descriptive only
volatility_2_to_5,0,older,recovery_30,734,369,195,68.66485013623979,2.8719373881470207,6.054379382768326,-13.233399491322212,-41.25,14.168937329700274,9.133880530028918,-10.849885844498528,2.2872252756280966,0.22882472865878967,59.53678474114441,3.6721500302339005,1.8905895871730194,4.122226793682926,-5.980758664627578,24.0,4,5,8,8,descriptive only
volatility_2_to_5,0,older,recovery_stop_10,734,369,195,65.9400544959128,2.579242498946775,5.7726312264906765,-12.058648961502326,-33.02084309865316,19.618528610354225,9.10765674074672,-10.059767473177915,1.8478735632678758,0.26737433325648907,56.403269754768395,2.5280092205630105,1.0942755939518438,3.3482358627356046,-5.980758664627578,17.0,4,5,8,8,descriptive only
volatility_2_to_5,0,older,trailing_close_10,734,369,195,53.67847411444142,3.000403392438721,1.0229302951803798,-11.32960877854633,-33.02084309865316,17.029972752043594,12.829988225631556,-8.390350796614154,-2.3023817343755084,-0.25413751628774106,42.50681198910082,-0.7976740718652287,-2.2517379671448623,-1.8935079726651427,-6.436781480944248,30.0,2,5,5,8,descriptive only
