entry_filter,cost_bps_per_side,period,policy,quarter,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
volatility_2_to_5,0,older,trailing_close_10,2024Q3,17,17,8,64.70588235294117,5.055362555562726,3.003735214774861,-14.934009076623667,-33.02084309865316,11.76470588235294,14.26978827822158,-11.83775126931184,0.8858273815268713,1.8893903053184096,52.94117647058824,0.2368263859577724,-0.8549487410528134,-1.656609983543611,-3.7393001952245264,30.0,0,0,0,0,small (<30 trades)
volatility_2_to_5,0,older,trailing_close_10,2024Q4,115,109,38,44.34782608695652,-0.7950306440212062,-3.040803337812026,-11.040860070466358,-15.123129031176298,18.26086956521739,8.013118047578173,-7.814024132639461,-3.2601837451562865,-1.6872887214565508,39.130434782608695,-3.351472118473114,-3.5471100175040764,-3.1900138696255187,-6.736377229203184,30.0,0,1,0,0,descriptive only
volatility_2_to_5,0,older,trailing_close_10,2025Q1,159,151,46,18.238993710691823,-6.396320432628124,-8.49373123785978,-14.194775722851588,-26.019459932218215,36.477987421383645,7.2395837710788,-9.438175985762744,-2.39383133193558,-0.6837662946878824,38.9937106918239,-7.572253672138513,-1.4305302760955767,-8.383497194238021,-9.846674051186389,20.0,0,1,0,1,descriptive only
volatility_2_to_5,0,older,trailing_close_10,2025Q2,237,221,36,82.27848101265823,11.201682304021045,9.866281516623943,-5.419909031776855,-27.791444832017632,5.9071729957805905,15.21184536354355,-7.416931900904873,-2.0282140296341566,-0.5072669523189275,44.72573839662447,6.323446810613975,-0.8129823182834173,4.599605126660644,-5.428384565075206,30.0,1,1,4,4,descriptive only
volatility_2_to_5,0,older,trailing_close_10,2025Q3,87,86,43,60.91954022988506,6.291607544672748,2.0197585071350277,-9.827649045229595,-15.823443681032689,9.195402298850574,14.851610345688911,-7.051926233381861,-1.6549027069818756,3.3634641255487683,43.67816091954023,0.7701236255497956,-2.1682710454406173,0.7232625586307995,-4.555784006059948,30.0,1,1,0,0,descriptive only
volatility_2_to_5,0,older,trailing_close_10,2025Q4,119,118,24,46.21848739495798,0.1901666976155296,-1.7981932844724713,-10.960285933315593,-17.67803080163223,18.487394957983195,9.563373560693076,-7.864932950341736,-3.481415372652208,-0.7420053743352549,43.69747899159664,-3.1705152653257795,-3.556853401919888,-3.2203252690347184,-5.969894674001108,25.0,0,1,1,1,descriptive only
volatility_2_to_5,0,recent,hold_20,2026Q1,211,191,44,45.023696682464454,-0.13504371585159056,-1.0494752623688153,-13.707194769748321,-39.372247890501285,24.170616113744074,11.13247478088915,-9.362752829561682,-0.7795210802174601,-0.5516447685596023,46.44549763033176,-0.9308572096600325,-0.967574309610389,-0.02970472151657133,-8.029197080291961,20.0,0,1,1,3,descriptive only
volatility_2_to_5,0,recent,hold_20,2026Q2,172,155,55,56.395348837209305,1.479546274064293,1.3559034326211528,-10.111154106835292,-34.96545370796868,10.465116279069768,8.6499174589124,-7.79413379167259,-0.5411202832157402,-0.8654980389410607,47.093023255813954,1.0619469026548645,-1.2189495486931268,1.7918284025212672,-6.802776009182998,20.0,1,1,2,2,descriptive only
volatility_2_to_5,0,recent,hold_20,2026Q3,35,35,12,82.85714285714286,7.299524924257572,6.935111567068475,-4.328527430938504,-10.771306498763211,2.857142857142857,9.88961984796518,-5.2192672069958626,3.7839151589849074,4.2623661308123335,68.57142857142857,5.94080331594663,3.9694339751374375,4.276189746340697,-3.577055493960435,20.0,1,1,0,0,descriptive only
volatility_2_to_5,0,recent,hold_30,2026Q1,211,191,44,44.54976303317535,0.41242914649088214,-2.308732089753973,-15.857657367091328,-36.12286067547341,25.118483412322274,13.621098223337668,-10.19966395798431,-1.894523018277349,-0.33046082069704136,45.497630331753555,-1.4134895938322485,-2.8746042074936224,0.24628344017317838,-9.676277187658066,30.0,0,1,0,3,descriptive only
volatility_2_to_5,0,recent,hold_30,2026Q2,172,155,55,61.627906976744185,3.961979926164722,3.273412753974214,-9.828682260414167,-41.473975126669735,9.883720930232558,11.780898089462632,-8.595676517919797,0.4465989984125063,0.9746721466657391,51.74418604651163,3.6333168297977725,2.2521146756901755,4.436267193665233,-7.5996016592721265,30.0,1,1,2,2,descriptive only
volatility_2_to_5,0,recent,hold_30,2026Q3,35,35,12,74.28571428571429,8.842515131494888,9.637832984136496,-3.0547179453113182,-12.997526422307182,5.714285714285714,13.593209631248572,-4.88171342334908,6.668954359799195,5.97848808180858,68.57142857142857,7.240614333034196,4.548590000108849,7.681143239924104,-3.636435372718183,30.0,1,1,0,0,descriptive only
volatility_2_to_5,0,recent,recovery_30,2026Q1,211,191,44,55.45023696682464,-0.5191633391328045,2.994688665385925,-15.774647887323944,-36.12286067547341,23.22274881516588,8.016829203617295,-11.1437498019175,2.4608896632955957,-0.31676167213749973,57.81990521327014,0.7087021841548218,1.1400441171362188,4.604537546040966,-7.785651878458411,30.0,1,1,2,3,descriptive only
volatility_2_to_5,0,recent,recovery_30,2026Q2,172,155,55,70.93023255813954,3.205837181149657,6.231091687440182,-9.268213640694126,-41.473975126669735,8.13953488372093,8.340501906113586,-9.322744747762327,4.368223956955575,0.9210424353969078,64.53488372093024,4.286474973375931,2.881192629522178,5.874692254838132,-6.907076435500387,19.0,1,1,2,2,descriptive only
volatility_2_to_5,0,recent,recovery_30,2026Q3,35,35,12,88.57142857142857,7.637407730204696,8.494229030370715,0.29121364805473154,-7.459207459207462,0.0,9.05755900864713,-3.368764677724162,6.660285717670423,6.650494906187593,85.71428571428571,7.742115954810158,7.589386494974936,8.002330775954158,-2.76649551689786,13.0,1,1,0,0,descriptive only
volatility_2_to_5,0,recent,recovery_stop_10,2026Q1,211,191,44,50.71090047393365,-1.0497980230121478,0.3844338031968597,-13.148416922001827,-25.793735099025085,30.80568720379147,8.248651668851197,-10.616472225217702,1.2406379405505819,-0.9072326659481181,52.60663507109005,-2.6233819395508977,-1.2743670152213147,3.0408213392130734,-7.785651878458411,12.0,1,1,0,3,descriptive only
volatility_2_to_5,0,recent,recovery_stop_10,2026Q2,172,155,55,64.53488372093024,2.2022094270904153,5.492728485387732,-11.042201065051103,-15.181943804698294,16.86046511627907,8.268254904342974,-8.836004474139648,3.4675980789491745,0.39078825836884,59.883720930232556,0.6024540620768626,0.3472666230746153,4.436124912703732,-6.907076435500387,12.0,1,1,2,2,descriptive only
volatility_2_to_5,0,recent,recovery_stop_10,2026Q3,35,35,12,88.57142857142857,7.121405921983059,8.494229030370715,0.29121364805473154,-12.885841514016805,5.714285714285714,9.05755900864713,-7.883780499663484,6.660285717670423,6.208943364018656,85.71428571428571,7.742115954810158,7.589386494974936,8.002330775954158,-2.76649551689786,10.0,1,1,0,0,descriptive only
volatility_2_to_5,0,recent,trailing_close_10,2026Q1,211,191,44,39.81042654028436,-0.9308043300086227,-4.877659574468074,-12.751677852348998,-25.793735099025085,24.170616113744074,11.447670615614802,-9.118142089318605,-4.99083523468995,-1.6489671379769917,38.388625592417064,-5.652703649638752,-5.197223909649784,-2.5034693493552695,-7.9772911597729035,19.0,0,1,0,3,descriptive only
volatility_2_to_5,0,recent,trailing_close_10,2026Q2,172,155,55,47.093023255813954,2.1435701170148302,-1.6706299999470653,-10.392025753525418,-15.181943804698294,12.209302325581394,12.777651281963957,-7.321930700137688,-3.183933495435509,-0.145005056711085,40.69767441860465,0.43378961008181927,-1.5613540945550342,-1.819884217397355,-7.025765514331772,24.5,0,1,0,2,descriptive only
volatility_2_to_5,0,recent,trailing_close_10,2026Q3,35,35,12,71.42857142857143,8.757212668932281,9.637832984136496,-5.731253343778046,-10.249468677259388,2.857142857142857,14.166970782902556,-4.767182615993409,6.256847247792607,5.988832066618079,71.42857142857143,5.50738597477406,2.9142425411203874,7.681143239924104,-3.577055493960435,30.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,hold_20,2024Q3,17,17,8,82.35294117647058,4.543457775070658,3.224094837817848,-6.698708989428807,-25.38608855286458,11.76470588235294,8.481559591003384,-13.834350699282053,0.2970662145077574,1.9825420270920613,52.94117647058824,1.7558109244621312,-1.2411904946700414,-1.2596178571808836,-2.7587450414713333,20.0,0,0,0,0,small (<30 trades)
volatility_2_to_5,10,older,hold_20,2024Q4,115,109,38,50.43478260869565,1.2455464469021267,0.03274002868778325,-8.975643075418663,-29.197515280525376,7.82608695652174,7.916429857724908,-5.5423700062157915,-0.051556347565662186,0.04273344982635204,49.56521739130435,-1.8071671998462546,-1.0478736508043958,-0.5258114690535831,-5.493133583021215,20.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,hold_20,2025Q1,159,151,46,30.18867924528302,-4.686059059451668,-4.3695721540691235,-16.907077430280776,-29.617225285303828,28.930817610062892,5.865723820211312,-9.248992196603226,-0.6842584664378593,-0.08599878711715006,47.16981132075472,-2.9348765364370144,-0.9338235715205037,-2.9656044391173477,-9.683008867597598,20.0,0,1,0,1,descriptive only
volatility_2_to_5,10,older,hold_20,2025Q2,237,221,36,85.65400843881856,9.301544973645216,8.196172606858854,-1.6112210664363964,-17.65056440223265,2.109704641350211,11.691438109184865,-4.967522865017996,-0.08470451440569793,0.20907988839548797,48.9451476793249,5.355564373686885,-0.15854018376704193,4.907208330583579,-5.398984487818503,20.0,1,1,4,4,descriptive only
volatility_2_to_5,10,older,hold_20,2025Q3,87,86,43,58.620689655172406,3.460846942022011,1.7830577764716304,-9.222501243936557,-24.99296292089983,9.195402298850574,10.696310593541234,-6.789393230963557,-0.17172324040286568,1.6375605054383071,49.42528735632184,0.8108641445855103,-0.4658243836693776,1.7830577764716304,-4.351595006934805,20.0,1,1,0,0,descriptive only
