entry_filter,cost_bps_per_side,period,policy,sector,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
volatility_2_to_5,0,older,recovery_30,Communication Services,35,19,22,65.71428571428571,5.560608909361469,6.49483931503636,-13.753621139244723,-24.121779859484782,17.142857142857142,14.212146894819034,-11.021505562765531,0.758082017645334,3.446377278337267,54.285714285714285,6.218222577226207,1.9875888004520448,4.41097050284498,-7.234412339778407,30.0,0,0,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Consumer Discretionary,78,37,45,67.94871794871796,3.774558663938152,6.891276346378195,-13.68428743783793,-36.717019133937555,12.82051282051282,11.105853051189674,-11.767785437035082,3.9673621406152932,2.0415917734162488,65.38461538461539,6.0181791526169315,2.8561414943816086,5.058031236566829,-7.240134326360481,21.0,0,0,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Consumer Staples,29,18,20,72.41379310344827,4.248308156473916,5.6734693877551035,-3.534710859849768,-9.088027052731684,0.0,7.409408501119055,-4.0495802482195735,2.29805121850859,1.5024086322906576,65.51724137931035,5.461509850745328,3.8478525671474917,4.94288891135144,-4.605753465494122,19.0,0,0,0,0,small (<30 trades)
volatility_2_to_5,0,older,recovery_30,Energy,45,18,27,68.88888888888889,3.175228928500158,6.196377502383221,-6.004236253091026,-27.503974562798096,6.666666666666667,7.79750446418224,-7.059809757653022,3.3811340183259597,0.7657864336600775,60.0,4.6413308211938675,0.8134922852958137,5.663988470861447,-4.1576171269003925,19.0,0,0,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Financials,94,55,36,70.2127659574468,2.4910252882124424,5.325223701989801,-11.341621462017125,-33.02218011591618,14.893617021276595,8.241385268501315,-11.063394665325612,1.747066862189961,-0.8047799077187167,60.63829787234043,4.0916920261626855,1.7036218702613182,2.012531400687223,-5.9552855490258345,27.0,1,1,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Health Care,90,47,54,57.77777777777777,0.5454477897554201,3.3670323168303318,-12.433491350157464,-21.99179940072543,14.444444444444443,6.978159586366134,-8.257210458238188,-1.7350968124687167,-3.6555387354310485,46.666666666666664,0.42430150990955817,1.3254560290177129,2.1246569972559692,-6.561663223864544,30.0,1,1,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Industrials,99,61,49,77.77777777777779,3.8257578075704237,6.9754708716601055,-13.835476671687886,-41.249809170016796,15.151515151515152,8.779094657085748,-13.510921165733203,3.529557007145323,1.5636770040285448,65.65656565656566,4.669630872483221,3.0075458579832848,5.104805227746246,-6.5497171899336015,24.0,1,1,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Information Technology,167,66,75,66.46706586826348,2.0398954246130274,6.172512684756226,-18.58623599701722,-41.25,20.958083832335326,10.282836142403196,-14.298790641006773,3.333253775722178,0.28167944999799377,59.88023952095808,4.656922413398101,2.148376854030132,3.5795989772574366,-6.646490513327896,21.0,2,3,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Materials,50,20,35,70.0,3.548422938002349,5.778931467922954,-6.341008725266916,-20.921627985200132,6.0,7.789581346032064,-6.347613347400326,3.8906761036728854,2.1724866102086815,68.0,5.608546356352528,4.174035397142839,3.831863416045256,-5.191989419980764,19.5,0,0,1,1,descriptive only
volatility_2_to_5,0,older,recovery_30,Real Estate,28,17,17,71.42857142857143,2.4482956890021015,6.08849520538417,-10.616028607291387,-18.60253164556962,14.285714285714285,7.339661197140718,-9.780118081344439,-0.10913369637631654,-3.085995725133355,50.0,4.737173434057285,1.621698437888897,2.8539112886819873,-7.321954812352422,29.5,0,0,0,0,small (<30 trades)
